query_acc	% identity	alignment length	mismatches	gap opens	bit score	evalue	OMA-Jaccard Combined	Membership Cluster 1	Membership Cluster 2	Membership Cluster 3	Membership Cluster 4	Membership Cluster 5	Max Membership	Assigned Cluster
tr|A0A1C4NLA6|A0A1C4NLA6_9ACTN	39.05757533333333	63.87466666666667	0.02606337936213	0.5113333333333333	85.33520000000001	76982.56808108269	287.7498261760414	0.1500582331274078	0.1678296662799004	0.2166275472903038	0.2842870973814088	0.1811974559209791	0.2842870973814088	3
tr|A0A1Q9C206|A0A1Q9C206_SYMMI	46.10256962864722	323.1737400530504	0.0061256983118763	4.607427055702917	399.0994031830239	45543.66695378103	1023.7714906328052	0.2580618281349897	0.205847271191384	0.1940447023557514	0.2415689500030711	0.1004772483148037	0.2580618281349897	0
tr|A0A2S0MFE3|A0A2S0MFE3_9BURK	35.06412954395242	315.53932584269666	0.0057268302327941	5.703899537343027	230.7888301387971	51937.54295194964	828.4964094161269	0.2670251732366095	0.2647626404725626	0.1403953506483192	0.255032621756357	0.0727842138861515	0.2670251732366095	0
tr|A0A2W1D7U2|A0A2W1D7U2_9PLEO	44.9012	257.5	0.0240963797358121	2.3	423.4	0.2745736557560249	4064.968003801761	0.2981300252522318	0.2136251014109742	0.262913817642253	0.1176217428498466	0.1077093128446943	0.2981300252522318	0
tr|A0A0D6I654|A0A0D6I654_ALCXX	31.541566289140576	304.2998001332445	0.0052927774232015	5.980679546968688	213.7077948034644	53588.0006564548	1207.691531027758	0.2775675326950541	0.2634454820485795	0.1308244743595785	0.2569383906103142	0.0712241202864736	0.2775675326950541	0
tr|A0A060PG08|A0A060PG08_9BURK	32.87403127079175	301.5655355954757	0.0054675020746804	5.273453093812376	218.0740518962076	53282.755462211535	554.1548814189358	0.2450494073109311	0.2670692367383813	0.1464152387131411	0.2665203557119977	0.0749457615255486	0.2670692367383813	1
tr|A0A0K8P1M1|A0A0K8P1M1_IDESA	32.05276298268975	289.6191744340879	0.0057969668697903	5.230359520639148	210.54687083888152	55435.43324644776	1023.8461360434447	0.2490496621593784	0.2493801314465182	0.1409224842407972	0.2842152822683488	0.0764324398849572	0.2842152822683488	3
tr|A0A1W1Y7S4|A0A1W1Y7S4_9BURK	51.7900425531915	423.5152925531915	0.0050935220941469	2.8763297872340425	649.8289228723404	206.59227147103587	1223.3529420822538	0.2918719522595693	0.2126310658864039	0.2834722107976152	0.1131708851660466	0.0988538858903649	0.2918719522595693	0
tr|A0A0F6QXK7|A0A0F6QXK7_9CORY	22.815018666666667	281.226	0.0056049828895753	10.208666666666666	154.58966666666666	65142.20901773807	284.3583149009848	0.2348307181320595	0.2733012958642786	0.12062967299967	0.2861604733764887	0.0850778396275031	0.2861604733764887	3
tr|Q4KBS6|Q4KBS6_PSEF5	65.3989940357853	539.2067594433399	0.0065184988947314	2.4314115308151094	752.3984095427436	5.326069100256174	1023.8300207787344	0.2449310870803667	0.1946660616016419	0.263789053013258	0.1451676904757271	0.1514461078290062	0.263789053013258	2
tr|J2FCI5|J2FCI5_9PSED	66.25886666666668	546.0808080808081	0.0065018647587843	2.4606060606060605	771.9907070707071	6.086082405736814	2199.590020646344	0.2503113546002328	0.189889286710107	0.2487349427428579	0.1500636211770254	0.1610007947697767	0.2503113546002328	0
tr|A0A0D5XYX5|A0A0D5XYX5_9PSED	66.11704040404041	546.369696969697	0.0064677132775605	2.4767676767676767	768.3107070707072	5.576806966968754	2204.193447090299	0.2510425274846651	0.1901626056881416	0.2487196584334465	0.1497821433204408	0.1602930650733059	0.2510425274846651	0
tr|Q9X3C0|Q9X3C0_PSECL	65.45597011952191	540.2091633466135	0.0065058768981804	2.440239043824701	753.603187250996	5.7438887492492094	2614.7554611259825	0.2541836697153055	0.1900573114836242	0.2457735416172707	0.1498715017677373	0.1601139754160621	0.2541836697153055	0
tr|A0A173JL08|A0A173JL08_9PSED	66.93299799196788	544.0522088353414	0.0067526334780388	2.4497991967871484	768.3843373493976	8.828652344125967	2328.5175808489503	0.2500951568045746	0.1890870007354709	0.2484407839185257	0.150056555931899	0.1623205026095297	0.2500951568045746	0
tr|A0A0D6BHI0|A0A0D6BHI0_9PSED	64.33484210526316	528.8654970760234	0.0064599804420024	2.38401559454191	738.0037037037038	2.329445647228917	2427.238938600092	0.2570887753636274	0.1910897551080891	0.251196708946267	0.1461829702451369	0.1544417903368792	0.2570887753636274	0
tr|A1Z374|A1Z374_PSECL	65.85880808080809	546.6282828282829	0.0064543885679181	3.319191919191919	758.4979797979798	6.498521089004002	2599.7514626326024	0.2599208589224055	0.1933612171879238	0.2385022632637348	0.1509321814657738	0.157283479160162	0.2599208589224055	0
tr|A0A075P5W0|A0A075P5W0_PSEFL	63.81134924965893	552.8894952251023	0.0058799932368012	2.581173260572988	770.2994542974079	8.087852705996704	1997.2348987586768	0.2539431421370242	0.1931656239464153	0.2470818668492375	0.1499865302395431	0.1558228368277799	0.2539431421370242	0
tr|A0A142NDH9|A0A142NDH9_9PSED	66.42714486921528	543.5030181086519	0.0065747693846358	2.412474849094568	770.5778672032193	9.99110998973346	2388.610056230502	0.2504222764319458	0.1891819949516373	0.2475352161269154	0.1504973842380632	0.1623631282514381	0.2504222764319458	0
tr|A0A0N0BV85|A0A0N0BV85_9PSED	66.18637325349302	541.1656686626746	0.0066268960304658	2.4770459081836327	757.1892215568862	5.616686748138545	2303.869847650261	0.2525428404099977	0.19003662233966	0.2495091074682728	0.1486414460596432	0.1592699837224261	0.2525428404099977	0
tr|A0A0D0PIL0|A0A0D0PIL0_PSEFL	62.633380376344086	545.5215053763441	0.0057989536695982	2.4341397849462365	762.6204301075269	5.1999021942080335	2286.119870816999	0.2563900538485332	0.1928327285260739	0.2460115897615047	0.1496471643116823	0.1551184635522059	0.2563900538485332	0
tr|A0A0A6D6H3|A0A0A6D6H3_9PSED	66.91055911823649	541.6653306613226	0.0067260640585119	2.45691382765531	775.0923847695391	6.1345209827555225	2431.146123656253	0.2497818698160005	0.1887640175834148	0.2470076690581971	0.1508891630068265	0.1635572805355608	0.2497818698160005	0
tr|A0A0G3GJA5|A0A0G3GJA5_9PSED	62.817520325203255	548.5325203252032	0.0057451128206408	2.432926829268293	758.0357723577235	5.442036556437024	2284.957011058349	0.2565762780267844	0.1928804585963502	0.2459694046210863	0.1495360298191435	0.1550378289366354	0.2565762780267844	0
tr|A0A0N0L6A3|A0A0N0L6A3_9PSED	66.94743912175649	540.187624750499	0.0067669777688886	2.4291417165668663	767.4315369261477	6.658051096633385	2308.853702693075	0.2500211850288383	0.1889403495220546	0.2496481198609814	0.149479654117903	0.1619106914702224	0.2500211850288383	0
tr|A0A191YTE5|A0A191YTE5_9PSED	66.12812024048097	542.5290581162325	0.0065577644103499	2.434869739478958	764.4905811623246	8.184565722129806	2256.4754734255143	0.2513206500406515	0.1898562235636118	0.2494734777292104	0.1492470168615961	0.1601026318049301	0.2513206500406515	0
tr|A0A0F4SLW2|A0A0F4SLW2_PSEFL	66.95671656686626	539.8982035928144	0.0067990278602313	2.395209580838323	769.115369261477	5.749533174687276	2327.857903729164	0.2496104439657575	0.1887133247507509	0.2495757417354873	0.1496833220473799	0.1624171675006241	0.2496104439657575	0
tr|A0A160GND1|A0A160GND1_PSEPU	57.00928971962617	542.9732977303071	0.0049036293620162	2.574098798397864	718.545393858478	5.139050293981405	2172.7469954350563	0.2714361251832585	0.2001721433154257	0.2443705251680226	0.1444913428184345	0.1395298635148586	0.2714361251832585	0
tr|A0A1C1BXU3|A0A1C1BXU3_PSEPU	57.06529127516779	545.1557046979866	0.0048877776919588	2.58255033557047	720.6730201342282	5.446197445110197	2164.420863116369	0.2709860183629233	0.2001572108129362	0.2439023456499426	0.1449416451609219	0.1400127800132759	0.2709860183629233	0
tr|A0A0F0FCH6|A0A0F0FCH6_9PSED	58.27971196754565	548.9655172413793	0.0049754756017086	2.6511156186612577	718.7620689655172	7.220019190138563	1968.6433615042856	0.269277409027216	0.200221451135559	0.2462092494171634	0.1442830100749604	0.1400088803451011	0.269277409027216	0
tr|V8R6J6|V8R6J6_9PSED	66.39023246492987	541.376753507014	0.0066466862049022	2.468937875751503	766.9823647294589	7.219688971820879	2372.218980918641	0.2513073100438266	0.1894922939231472	0.2480053674889541	0.1498768203093574	0.1613182082347146	0.2513073100438266	0
tr|A0A0A7JLW9|A0A0A7JLW9_9PSED	55.56874468085106	539.2579787234042	0.0047300652549637	2.543882978723404	721.2961436170212	4.112030622018343	2080.105746785532	0.2728567530683332	0.2016013463299692	0.2446276979987713	0.143903215915402	0.1370109866875242	0.2728567530683332	0
