query_acc	mean_jaccard	% identity	alignment length	mismatches	gap opens	bit score	evalue	Membership Cluster 1	Membership Cluster 2	Membership Cluster 3	Membership Cluster 4	Membership Cluster 5	Max Membership	Assigned Cluster
tr|Q83VD0|Q83VD0_PAEAM	0.13870527713773675	19.176266472868218	133.53003875968992	0.010594067431135723	5.280038759689923	114.97625968992249	22.228291445540748	0.03166350299892081	0.311403977892414	0.04833606594814047	0.5462456061727394	0.06235084698778544	0.5462456061727394	3
tr|A4UZ10|A4UZ10_9BACT	0.17636115378050848	37.875476923076924	88.67692307692307	0.027287985836611756	2.4307692307692306	79.14615384615385	0.23511483460666105	0.0611967085277794	0.3897324592305028	0.0782011187068867	0.38608540194073004	0.08478431159410121	0.3897324592305028	1
tr|A4UZ11|A4UZ11_9BACT	0.17636115378050848	53.685653846153855	109.92307692307692	0.03945370218822068	1.9230769230769231	154.77307692307693	0.3051992093931865	0.08604916787712834	0.3524417242566681	0.09585370059696603	0.36997260248968794	0.09568280477954963	0.36997260248968794	3
tr|A4UZ14|A4UZ14_9BACT	0.2441620263696876	22.33008456375839	180.95838926174497	0.008546321483158639	6.487248322147651	55.17624161073826	1.360386252974184	0.025994696908353643	0.701291058577541	0.03755153917006238	0.19011491664139452	0.045047788702648466	0.701291058577541	1
tr|R6GV29|R6GV29_9FIRM	0.2441620263696876	19.425464646464647	158.3160173160173	0.009398265929859054	5.945165945165945	39.09206349206349	0.9735826765113891	0.03253560493290002	0.6463248866089334	0.04695406695749059	0.21843056100107383	0.05575488049960215	0.6463248866089334	1
sp|A0A0K8P6T7|PETH_IDESA	0.2763925557902371	20.974970364098223	167.44453852667232	0.008905544624440239	4.531752751905165	78.30524978831498	2.7092793798467985	0.036060578208691414	0.6798709983570225	0.05105937379448283	0.1776774755267653	0.05533157411303811	0.6798709983570225	1
tr|A0A1V2MPS8|A0A1V2MPS8_9ACTN	0.10818652393753193	23.015567549668873	171.93311258278146	0.00873963900096918	5.077483443708609	84.11377483443708	0.6517325518633227	0.027602538511818937	0.21929005684154285	0.0420159553631469	0.6555240472551577	0.05556740202833368	0.6555240472551577	3
tr|A0A2S6X119|A0A2S6X119_9ACTN	0.10818652393753193	20.432555932203393	191.98220338983052	0.007699333871511551	4.8228813559322035	85.10008474576271	2.94362711773404	0.02737949956635878	0.22107642757832577	0.04245932298712354	0.6530967756507859	0.055987974217405805	0.6530967756507859	3
tr|A0A2P8AA05|A0A2P8AA05_9ACTN	0.10818652393753193	20.723161290322583	186.5	0.00784898960934218	4.82937181663837	80.78174872665534	2.7531006143482464	0.02813524650093808	0.22460912266706584	0.04343620970057753	0.646557266830153	0.057262154301265474	0.646557266830153	3
tr|A0A2H5Z9R5|A0A2H5Z9R5_9BACT	0.2763925557902371	20.03949261511729	180.92006950477847	0.008242918359465818	5.089487402258905	80.51807124239792	4.650269550559405	0.03216682015039906	0.7042341342764116	0.04607252456588509	0.1666552806676117	0.050871240339692717	0.7042341342764116	1
