query_acc	mean_jaccard	% identity	alignment length	mismatches	gap opens	bit score	evalue	Membership Cluster 1	Membership Cluster 2	Membership Cluster 3	Membership Cluster 4	Membership Cluster 5	Max Membership	Assigned Cluster
tr|A0A1A3R3B6|A0A1A3R3B6_9MYCO	0.2016185035842294	75.43371951219513	229.9390243902439	0.0184778288205014	0.3445121951219512	340.9463414634146	7.129926387857552	0.1572229259782327	0.2991168462251802	0.144242268608759	0.2838236997480966	0.1155942594397314	0.2991168462251802	1
tr|A0A1A2M8R2|A0A1A2M8R2_9MYCO	0.2016185035842294	75.81246483180428	232.14678899082568	0.0185468742188033	0.4159021406727828	342.5761467889908	11.472367907261154	0.1576845072607945	0.2987079032490846	0.1442416293369123	0.2836805536911729	0.1156854064620355	0.2987079032490846	1
tr|A0A1A3UKZ3|A0A1A3UKZ3_9MYCO	0.2016185035842294	75.76015902140672	232.2415902140673	0.0184693555269814	0.4311926605504587	339.14709480122326	10.971950393362636	0.1568802047318414	0.2996497760092549	0.1437000172982127	0.2843060747789587	0.115463927181732	0.2996497760092549	1
tr|A0A1A2TUP7|A0A1A2TUP7_9MYCO	0.2016185035842294	76.18701215805471	230.1580547112462	0.0191524005698336	0.4133738601823708	340.2279635258359	9.372340883147949	0.1588940948832082	0.2977749718088715	0.1444035452096785	0.2829924136347536	0.1159349744634881	0.2977749718088715	1
tr|A0A1Q4HP95|A0A1Q4HP95_9MYCO	0.2016185035842294	75.72368098159508	232.2730061349693	0.0183651591532635	0.3711656441717791	342.34907975460123	13.695603039247562	0.1578606662991189	0.2984464602937279	0.1445193247901636	0.2834117200541406	0.1157618285628488	0.2984464602937279	1
tr|A0A1C4NLA6|A0A1C4NLA6_9ACTN	0.2016185035842294	39.05757533333333	63.87466666666667	0.02606337936213	0.5113333333333333	85.33520000000001	76982.56808108269	0.1714184481349698	0.1629624751084155	0.2628794603444821	0.1483563465268297	0.2543832698853028	0.2628794603444821	2
tr|A0A1A2VCF8|A0A1A2VCF8_9MYCO	0.2016185035842294	75.32235779816514	232.0275229357798	0.0181424734062423	0.363914373088685	340.38379204892965	10.091574091133362	0.1563815387195769	0.2999087868800784	0.1439277925601955	0.2843881338551646	0.1153937479849845	0.2999087868800784	1
tr|A0A1A0VQQ4|A0A1A0VQQ4_9MYCO	0.2016185035842294	75.83188719512195	231.97256097560972	0.0186310672473785	0.4207317073170731	339.8463414634146	9.2882904108592	0.1573897852722168	0.2991396105415066	0.1439367065233492	0.2839464530557289	0.1155874446071985	0.2991396105415066	1
tr|A0A1A3GVK4|A0A1A3GVK4_9MYCO	0.2016185035842294	76.37848012232416	232.63914373088684	0.0189279890081891	0.4250764525993883	342.4015290519877	11.37657615156468	0.1594534095189925	0.2971051121115051	0.1447771015209922	0.2825651081097522	0.1160992687387578	0.2971051121115051	1
tr|A0A1R0UZF5|A0A1R0UZF5_9MYCO	0.2016185035842294	76.28440853658536	231.8109756097561	0.0190442975982525	0.4176829268292683	341.6524390243902	9.338535580957348	0.1592289816045036	0.2973661911611755	0.144644722270372	0.2827290984191938	0.1160310065447548	0.2973661911611755	1
tr|A0A1A2Z8L2|A0A1A2Z8L2_9MYCO	0.2016185035842294	76.31757012195122	231.1768292682927	0.0191175576904127	0.399390243902439	341.5551829268293	8.587898185229948	0.1595909690851271	0.2970168931908833	0.1448175693648139	0.282452433372988	0.1161221349861876	0.2970168931908833	1
tr|A0A1A2E5Q6|A0A1A2E5Q6_9MYCO	0.2016185035842294	76.27977607361963	231.8067484662577	0.0188450163920022	0.3588957055214724	343.1644171779141	15.020784895909596	0.1600478082080274	0.2963972011699641	0.1453093681061604	0.281964091734948	0.1162815307808999	0.2963972011699641	1
tr|A0A1A2Y6U1|A0A1A2Y6U1_9MYCO	0.2016185035842294	75.88758841463415	230.78048780487805	0.0187890209298282	0.3932926829268293	341.5576219512195	8.844956541061086	0.1582055812810309	0.2982735928967522	0.1443923202676533	0.2833269077011017	0.1158015978534618	0.2982735928967522	1
tr|A0A1A2SKP9|A0A1A2SKP9_9MYCO	0.2016185035842294	76.0292256097561	230.7408536585366	0.0189038060051591	0.4207317073170731	340.39573170731705	7.941257933989954	0.1582108070780305	0.2983858415808556	0.1441894325897399	0.2834348589934087	0.1157790597579651	0.2983858415808556	1
