query_acc	% identity	alignment length	mismatches	gap opens	bit score	evalue	Membership Cluster 1	Membership Cluster 2	Membership Cluster 3	Membership Cluster 4	Membership Cluster 5	Max Membership	Assigned Cluster
tr|A0A059L8S9|A0A059L8S9_9PSED	67.29608484848484	546.1737373737374	0.0067499381813047	2.4343434343434343	779.9987878787879	10.444980637844347	0.216590022313392	0.163468059058374	0.2734890013762167	0.1442819272523641	0.2021709899996531	0.2734890013762167	2
tr|A0A075P5W0|A0A075P5W0_PSEFL	63.81134924965893	552.8894952251023	0.0058799932368012	2.581173260572988	770.2994542974079	8.087852705996704	0.2241393380063361	0.1573200233030317	0.271606581632354	0.1454575376586339	0.2014765193996442	0.271606581632354	2
tr|A0A086GFB6|A0A086GFB6_9GAMM	57.69781466395112	550.4236252545825	0.0050013239293855	4.824847250509165	711.6910386965377	6.384793756722787	0.266147439061227	0.1359945152524178	0.2636954966643109	0.1478591398080713	0.1863034092139728	0.266147439061227	0
tr|A0A0A0CVX6|A0A0A0CVX6_PHOLU	54.64671779141104	550.3537832310839	0.0044863618086891	3.329243353783231	711.2766871165644	10.105755928143369	0.2568134470473093	0.1360835474184149	0.2726379631060455	0.1452852844315579	0.1891797579966724	0.2726379631060455	2
tr|A0A0A4GDI1|A0A0A4GDI1_9PSED	63.86927855711423	537.9959919839679	0.0061245025460102	2.7655310621242486	751.5941883767536	6.089133433683212	0.2280444298511513	0.1537974110197386	0.2788382984142251	0.1431910170131614	0.1961288437017235	0.2788382984142251	2
tr|A0A0A6D4C3|A0A0A6D4C3_9PSED	57.0149427402863	537.5071574642127	0.0054073178326298	4.558282208588957	679.0562372188139	8.091729234311321	0.2729728447443659	0.1307444333073484	0.274113997370368	0.1434412747994855	0.178727449778432	0.274113997370368	2
tr|A0A0A6D6H3|A0A0A6D6H3_9PSED	66.91055911823646	541.6653306613226	0.0067260640585119	2.45691382765531	775.0923847695391	6.134520982755522	0.2178504480654666	0.1620418129914836	0.2755977481948651	0.1437002903768949	0.2008097003712895	0.2755977481948651	2
tr|A0A0A7JLW9|A0A0A7JLW9_9PSED	55.56874468085107	539.2579787234042	0.0047300652549637	2.543882978723404	721.2961436170212	4.112030622018343	0.2453487774883632	0.1398092767955416	0.280712657849449	0.1430357355627943	0.1910935523038519	0.280712657849449	2
tr|A0A0C1ZS49|A0A0C1ZS49_PSEFL	57.60880618556701	541.7257731958763	0.0054214170993307	4.579381443298969	681.8571134020618	7.422021915462851	0.2707521652160265	0.1322623015926101	0.2727467160697098	0.1441160770193645	0.180122740102289	0.2727467160697098	2
tr|A0A0C2A4M0|A0A0C2A4M0_PSEFL	66.55153020134227	545.3852348993289	0.0066006303897057	2.4644295302013424	774.8679194630872	7.237216191122948	0.2184743007727369	0.161695405187747	0.2744038831257316	0.1441340329220855	0.2012923779916988	0.2744038831257316	2
